customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST_0095,85,6,620047.1799999999,2,4,4,244,10,Loyal Customers
CUST_0096,7,5,331785.10000000003,5,3,3,533,11,Loyal Customers
CUST_0097,159,1,32473.1,2,1,1,211,4,Lost Customers
CUST_0098,229,2,111648.56,1,2,2,122,5,At-Risk
CUST_0102,70,2,183837.0,3,2,2,322,7,Potential Loyalists
CUST_0103,321,1,80100.57,1,1,1,111,3,Lost Customers
CUST_0104,40,6,434080.87,3,4,4,344,11,Loyal Customers
CUST_0105,8,15,1155097.89,5,5,5,555,15,Champions
CUST_0106,26,1,180509.24,4,1,2,412,7,Potential Loyalists
CUST_0107,169,2,82490.36,1,2,1,121,4,Lost Customers
CUST_0108,39,6,233728.65999999997,3,4,2,342,9,Potential Loyalists
CUST_0109,3,2,96739.64,5,2,2,522,9,Potential Loyalists
CUST_0111,13,1,57542.31,5,1,1,511,7,Potential Loyalists
CUST_0112,18,2,154929.72,4,2,2,422,8,Potential Loyalists
CUST_0113,16,14,1064033.56,5,5,5,555,15,Champions
CUST_0114,62,10,905955.13,3,4,5,345,12,Loyal Customers
CUST_0115,2,5,494783.52,5,3,4,534,12,Loyal Customers
CUST_0116,3,10,1015184.99,5,4,5,545,14,Champions
CUST_0117,19,9,1191178.4,4,4,5,445,13,Champions
CUST_0118,253,1,44914.35,1,1,1,111,3,Lost Customers
CUST_0119,49,16,1200751.16,3,5,5,355,13,Champions
CUST_0120,156,3,289876.76,2,3,3,233,8,Potential Loyalists
CUST_0121,13,14,1256284.09,5,5,5,555,15,Champions
CUST_0122,7,8,498015.48,5,4,4,544,13,Champions
CUST_0123,99,1,81889.54,2,1,1,211,4,Lost Customers
CUST_0124,143,2,137812.08,2,2,2,222,6,At-Risk
CUST_0126,104,5,507252.83,2,3,4,234,9,Potential Loyalists
CUST_0127,29,13,768763.0599999999,4,5,5,455,14,Champions
CUST_0128,7,17,909416.54,5,5,5,555,15,Champions
CUST_0130,211,1,42715.55,1,1,1,111,3,Lost Customers
CUST_0131,22,3,271273.02,4,3,3,433,10,Loyal Customers
CUST_0132,74,2,387743.44,3,2,3,323,8,Potential Loyalists
CUST_0133,345,1,23806.64,1,1,1,111,3,Lost Customers
CUST_0134,75,2,149567.79,3,2,2,322,7,Potential Loyalists
CUST_0135,81,14,856585.58,2,5,5,255,12,Loyal Customers
CUST_0136,45,2,216354.52000000002,3,2,2,322,7,Potential Loyalists
CUST_0137,14,3,82417.98000000001,5,3,1,531,9,Potential Loyalists
CUST_0138,33,7,395837.41000000003,4,4,3,443,11,Loyal Customers
CUST_0140,2,15,1333486.58,5,5,5,555,15,Champions
CUST_0141,11,22,1664844.02,5,5,5,555,15,Champions
CUST_0142,334,1,43502.85,1,1,1,111,3,Lost Customers
CUST_0143,259,2,211874.3,1,2,2,122,5,At-Risk
CUST_0144,96,1,57308.6,2,1,1,211,4,Lost Customers
CUST_0145,99,1,31094.13,2,1,1,211,4,Lost Customers
CUST_0147,49,7,598506.25,3,4,4,344,11,Loyal Customers
CUST_0148,141,1,78967.15,2,1,1,211,4,Lost Customers
CUST_0150,243,1,37082.11,1,1,1,111,3,Lost Customers
CUST_0151,74,12,1054343.11,3,5,5,355,13,Champions
CUST_0152,157,2,122472.39,2,2,2,222,6,At-Risk
CUST_0153,294,1,176245.0,1,1,2,112,4,Lost Customers
CUST_0154,88,6,624090.4099999999,2,4,4,244,10,Loyal Customers
CUST_0155,20,20,1487774.28,4,5,5,455,14,Champions
CUST_0157,179,5,343336.39,1,3,3,133,7,Potential Loyalists
CUST_0158,173,2,215058.65,1,2,2,122,5,At-Risk
CUST_0159,140,2,63407.66,2,2,1,221,5,At-Risk
CUST_0160,170,8,719542.71,1,4,4,144,9,Potential Loyalists
CUST_0161,210,3,378253.06,1,3,3,133,7,Potential Loyalists
CUST_0162,29,7,378307.54000000004,4,4,3,443,11,Loyal Customers
CUST_0163,98,4,167193.69999999998,2,3,2,232,7,Potential Loyalists
CUST_0164,9,6,416092.82999999996,5,4,4,544,13,Champions
CUST_0165,352,1,49156.11,1,1,1,111,3,Lost Customers
CUST_0166,4,12,881308.66,5,5,5,555,15,Champions
CUST_0167,215,1,95799.44,1,1,2,112,4,Lost Customers
CUST_0168,16,2,170603.77,5,2,2,522,9,Potential Loyalists
CUST_0170,23,4,234357.77,4,3,3,433,10,Loyal Customers
CUST_0171,62,4,393854.64,3,3,3,333,9,Potential Loyalists
CUST_0173,30,2,284420.32,4,2,3,423,9,Potential Loyalists
CUST_0174,293,2,92756.1,1,2,1,121,4,Lost Customers
CUST_0175,60,3,127715.82,3,3,2,332,8,Potential Loyalists
CUST_0176,35,2,223700.35,4,2,2,422,8,Potential Loyalists
CUST_0177,29,7,343146.31,4,4,3,443,11,Loyal Customers
CUST_0178,90,2,267539.5,2,2,3,223,7,Potential Loyalists
CUST_0179,28,17,1104764.97,4,5,5,455,14,Champions
CUST_0180,140,1,68275.58,2,1,1,211,4,Lost Customers
CUST_0181,3,4,346959.04,5,3,3,533,11,Loyal Customers
CUST_0183,9,13,1031883.65,5,5,5,555,15,Champions
CUST_0184,1,17,1296973.9,5,5,5,555,15,Champions
CUST_0185,228,2,44934.8,1,2,1,121,4,Lost Customers
CUST_0186,14,5,698803.32,5,3,4,534,12,Loyal Customers
CUST_0187,42,9,567075.3,3,4,4,344,11,Loyal Customers
CUST_0188,3,3,273472.77,5,3,3,533,11,Loyal Customers
CUST_0189,162,4,225578.69,2,3,2,232,7,Potential Loyalists
CUST_0190,274,1,16897.54,1,1,1,111,3,Lost Customers
CUST_0192,24,14,698919.0,4,5,4,454,13,Champions
CUST_0193,19,20,1629961.06,4,5,5,455,14,Champions
CUST_0194,150,4,197153.56000000003,2,3,2,232,7,Potential Loyalists
CUST_0196,102,2,83928.86,2,2,1,221,5,At-Risk
CUST_0197,60,7,740807.8099999999,3,4,4,344,11,Loyal Customers
CUST_0198,53,12,971836.28,3,5,5,355,13,Champions
CUST_0199,22,16,1385775.22,4,5,5,455,14,Champions
CUST_0200,86,6,250080.48,2,4,3,243,9,Potential Loyalists
